Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1738882187,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1738882188,2,,Aggregated,0.000000,0.000000,9,9,11,11,11,11,11,11,11,11,11,3,0,9,9.166553332761396,7.43461299862247,11.39615799911553,6041.0
1738882189,3,,Aggregated,0.000000,0.000000,7,8,11,26,140,230,230,230,230,230,230,18,0,6,32.04264600086996,0.988962005067151,232.67347900400637,5869.611111111111
1738882190,4,,Aggregated,0.000000,0.000000,5,8,11,26,140,230,1100,1100,1100,1100,1100,28,0,4,64.09662914328302,0.988962005067151,1136.035235998861,5090.464285714285
1738882191,5,,Aggregated,9.000000,0.000000,4,8,9,11,120,140,1100,1100,1100,1100,1100,45,0,4,47.01161208876228,0.988962005067151,1136.035235998861,5064.622222222222
1738882192,6,,Aggregated,9.000000,0.000000,7,9,18,23,130,230,320,1100,1100,1100,1100,77,0,7,44.52525990880578,0.988962005067151,1136.035235998861,5067.974025974026
1738882193,7,,Aggregated,9.333333,0.000000,7,9,15,21,140,180,320,1100,1100,1100,1100,99,0,7,40.115110040157255,0.988962005067151,1136.035235998861,5192.040404040404
1738882194,8,,Aggregated,10.500000,0.000000,7,8,14,19,130,150,280,320,1100,1100,1100,121,0,7,36.687089528776376,0.988962005067151,1136.035235998861,5270.99173553719
1738882195,9,,Aggregated,15.400000,0.000000,6,8,11,18,130,150,280,320,1100,1100,1100,141,0,6,35.14120053182685,0.988962005067151,1136.035235998861,5401.163120567376
1738882196,10,,Aggregated,16.500000,0.000000,6,8,11,17,130,140,230,320,1100,1100,1100,164,0,6,33.03379197557927,0.988962005067151,1136.035235998861,5398.4390243902435
1738882197,11,,Aggregated,17.285714,0.000000,5,7,9,15,130,140,230,320,1100,1100,1100,177,0,5,30.826382265418985,0.988962005067151,1136.035235998861,5411.514124293785
1738882198,12,,Aggregated,18.222222,0.000000,5,7,9,16,130,140,180,280,1100,1100,1100,207,0,5,30.595625405657334,0.988962005067151,1136.035235998861,5375.285024154589
1738882199,13,,Aggregated,17.700000,0.000000,5,7,9,16,130,140,180,280,1100,1100,1100,236,0,5,30.68628541078104,0.988962005067151,1136.035235998861,5370.881355932203
1738882200,14,,Aggregated,17.700000,0.000000,5,7,9,16,130,140,170,280,1100,1100,1100,260,0,5,29.939827788341344,0.988962005067151,1136.035235998861,5420.873076923077
1738882201,15,,Aggregated,19.800000,0.000000,5,7,9,14,130,140,180,320,9300,9300,9300,280,0,5,61.48733774623127,0.988962005067151,9325.553365000815,5357.4857142857145
1738882202,16,,Aggregated,23.200000,0.000000,5,7,9,11,130,140,180,320,9300,9300,9300,301,0,5,61.120754920081175,0.988962005067151,9325.553365000815,5346.720930232558
1738882203,17,,Aggregated,23.200000,0.000000,5,7,8,11,130,140,230,500,9300,9300,9300,334,0,5,58.23446264947346,0.988962005067151,9325.553365000815,5352.011976047904
1738882204,18,,Aggregated,22.300000,0.000000,5,6,8,11,130,150,210,500,9300,9300,9300,380,0,5,54.08794082872382,0.988962005067151,9325.553365000815,5355.61052631579
1738882205,19,,Aggregated,22.300000,0.000000,5,6,8,10,130,140,190,320,9300,9300,9300,411,0,5,51.14461595842679,0.988962005067151,9325.553365000815,5385.107055961071
1738882206,20,,Aggregated,23.500000,0.000000,4,6,7,9,120,140,190,320,9300,9300,9300,434,0,4,48.61435038228718,0.988962005067151,9325.553365000815,5392.036866359447
1738882207,21,,Aggregated,25.200000,0.000000,4,6,7,9,120,140,190,500,14000,14000,14000,462,0,4,77.4719281383141,0.988962005067151,14400.195930000336,5380.311688311688
1738882208,22,,Aggregated,27.000000,0.000000,4,6,7,9,120,140,230,1100,14000,14000,14000,495,0,4,91.66508824222032,0.988962005067151,14400.195930000336,5351.3656565656565
1738882209,23,,Aggregated,28.500000,0.000000,4,6,7,9,110,140,210,1100,14000,14000,14000,536,0,4,85.70608213796812,0.988962005067151,14400.195930000336,5338.0
1738882210,24,,Aggregated,28.500000,0.000000,4,6,7,8,110,140,230,1100,14000,14000,14000,587,0,4,80.04058752631822,0.988962005067151,14400.195930000336,5366.637137989778
1738882211,25,,Aggregated,29.400000,0.000000,4,6,7,8,100,140,210,500,14000,14000,14000,632,0,4,75.33718551728927,0.988962005067151,14400.195930000336,5381.106012658228
1738882212,26,,Aggregated,30.400000,0.000000,4,6,7,8,100,140,190,500,14000,14000,14000,677,0,4,71.29032691720387,0.988962005067151,14400.195930000336,5393.651403249631
1738882213,27,,Aggregated,32.700000,0.000000,4,6,7,8,75,140,180,320,14000,14000,14000,723,0,4,67.58688200127057,0.988962005067151,14400.195930000336,5397.160442600277
1738882214,28,,Aggregated,37.700000,0.000000,4,6,7,8,75,140,180,500,21000,21000,21000,771,0,4,92.02154141625941,0.988962005067151,21268.992858000274,5410.479896238651
1738882215,29,,Aggregated,37.700000,0.000000,4,6,7,8,51,140,190,500,21000,21000,21000,811,0,4,114.33093136248024,0.988962005067151,21268.992858000274,5367.88532675709
1738882216,30,,Aggregated,38.900000,0.000000,4,6,7,8,32,140,180,500,21000,21000,21000,862,0,4,108.35038342227102,0.988962005067151,21268.992858000274,5362.096287703016
